Date,ScalerCorr,error,pressure,activeSD
1119053400,1606.91,0,870.25,1067.67
1119053700,1606.43,0,870.28,1071
1119054000,1605.41,0,870.26,1069
1119054300,1603.4,0,870.23,1065.67
1119054600,1601.4,0,870.22,1060
1119054900,1600.18,0,870.22,1059
1119055200,1599.48,0,870.21,1060.33
1119055500,1598.79,0,870.18,1060.67
1119055800,1597.17,0,870.143,1062
1119056100,1595.63,0,870.122,1063
1119056400,1594.55,0,870.12,1065.67
1119056700,1594.57,0,870.123,1067.33
1119057000,1595.12,0,870.12,1068.67
1119057300,1596.16,0,870.113,1070
1119057600,1596.8,0,870.097,1066.33
1119057900,1596.85,0,870.06,1065
1119058200,1596.92,0,870.027,1063.67
1119058500,1597.03,0,870.027,1062.67
1119058800,1596.88,0,870.048,1061.33
1119059100,1596.19,0,870.048,1064
1119059400,1595.15,0,870.017,1065.67
1119059700,1594.54,0,869.987,1067.33
1119060000,1593.46,0,869.968,1064
1119060300,1592.39,0,869.94,1066.67
1119060600,1591.47,0,869.922,1067.67
1119060900,1591.75,0,869.957,1068
1119061200,1593.13,0,870.055,1065.67
1119061500,1594.41,0,870.185,1063.67
1119061800,1595.16,0,870.293,1060
1119062100,1594.91,0,870.358,1060.67
1119062400,1595.23,0,870.412,1062.67
1119062700,1595.49,0,870.507,1071.67
1119063000,1596.3,0,870.622,1073.33
1119063300,1596.64,0,870.683,1073.33
1119063600,1596.14,0,870.66,1068.67
1119063900,1595.14,0,870.592,1071
1119064200,1594.03,0,870.52,1069.67
1119064500,1593.52,0,870.448,1071.67
1119064800,1593.22,0,870.402,1073.33
1119065100,1592.97,0,870.4,1079
1119065400,1592.81,0,870.44,1078.67
1119065700,1592.88,0,870.5,1077.33
1119066000,1061.99,0,870.54,1076
1119066300,1061.63,0,870.538,1076.67
1119066600,1060.34,0,870.505,1074
1119066900,1589.99,0,870.472,1072.67
1119067200,1588.72,0,870.463,1073
1119067500,1587.83,0,870.472,1075
1119067800,1586.7,0,870.5,1071.67
1119068100,1586.17,0,870.562,1072
1119068400,1586.17,0,870.632,1073.33
1119068700,1586.3,0,870.672,1077.67
1119069000,1586.58,0,870.675,1073
1119069300,1586.72,0,870.675,1074
1119069600,1586.73,0,870.67,1074.67
1119069900,1586.53,0,870.624,1079.33
1119070200,1586.09,0,870.555,1077
1119070500,1585.5,0,870.522,1079
1119070800,1585.08,0,870.533,1080.33
1119071100,1584.94,0,870.542,1081.33
1119071400,1585.77,0,870.535,1076
1119071700,1585.82,0,870.552,1076.33
1119072000,1586.09,0,870.612,1080
1119072300,1586.28,0,870.697,1085.67
1119072600,1586.92,0,870.76,1083
1119072900,1587.43,0,870.775,1083.67
1119073200,1587.18,0,870.747,1082.67
1119073500,1587.09,0,870.708,1082.67
1119073800,1587.35,0,870.68,1079
1119074100,1587.35,0,870.648,1079
1119074400,1587.17,0,870.603,1079.67
1119074700,1586.54,0,870.549,1079.67
1119075000,1586.8,0,870.49,1084
1119075300,1587.5,0,870.43,1085.67
1119075600,1588.15,0,870.36,1086.33
1119075900,1588.23,0,870.27,1085.67
1119076200,1588.22,0,870.18,1083.67
1119076500,1588.26,0,870.12,1087
1119076800,1588.99,0,870.095,1084.33
1119077100,1589.49,0,870.078,1087.33
1119077400,1589.93,0,870.04,1082.67
1119077700,1590.21,0,869.977,1083.33
1119078000,1590.6,0,869.932,1083
1119078300,1591.42,0,869.95,1088
1119078600,1592.22,0,870.008,1087.33
1119078900,1592.48,0,870.038,1088.67
1119079200,1592.28,0,870.005,1087
1119079500,1591.68,0,869.942,1088.67
1119079800,1591.23,0,869.888,1088.67
1119080100,1591.24,0,869.852,1088.67
1119080400,1590.97,0,869.823,1087.67
1119080700,1591.37,0,869.79,1085.33
1119081000,1591.42,0,869.743,1080.67
1119081300,1592.03,0,869.69,1078.67
1119081600,1592.53,0,869.625,1079
1119081900,1592.39,0,869.537,1082.67
1119082200,1592.15,0,869.445,1084.67
1119082500,1591.72,0,869.382,1089.67
1119082800,1592.03,0,869.36,1089.33
1119083100,1591.91,0,869.36,1088.33
1119083400,1591.59,0,869.36,1082.33
1119083700,1591.4,0,869.36,1083.67
1119084000,1591.22,0,869.35,1085.67
1119084300,1591.21,0,869.32,1084
1119084600,1590.8,0,869.267,1079
1119084900,1591.03,0,869.198,1074.33
1119085200,1591.07,0,869.132,1077
1119085500,1590.84,0,869.073,1073
1119085800,1590.58,0,869.023,1070.33
1119086100,1589.34,0,868.977,1068
1119086400,1588.94,0,868.925,1075.33
1119086700,1588.05,0,868.863,1081.67
1119087000,1588.13,0,868.803,1085.33
1119087300,1588.25,0,868.763,1084.33
1119087600,1588.28,0,868.75,1084
1119087900,1588.51,0,868.75,1084.33
1119088200,1588.24,0,868.772,1087.67
1119088500,1588.68,0,868.835,1083.67
1119088800,1589.7,0,868.908,1084
1119089100,1590.61,0,868.94,1085
1119089400,1591.18,0,868.917,1088.33
1119089700,1591.19,0,868.877,1088.33
1119090000,1591.54,0,868.847,1088.67
1119090300,1592.09,0,868.815,1091
1119090600,1592.61,0,868.782,1093
1119090900,1593.14,0,868.758,1088.67
1119091200,1593.41,0,868.75,1087
1119091500,1593.83,0,868.75,1081.33
1119091800,1593.88,0,868.75,1083.33
1119092100,1594.69,0,868.75,1082.33
1119092400,1595.28,0,868.748,1084
1119092700,1595.94,0,868.742,1085.67
1119093000,1596.08,0,868.723,1087.67
1119093300,1596.19,0,868.692,1088
1119093600,1596.77,0,868.668,1085.67
1119093900,1596.96,0,868.677,1086
1119094200,1597.59,0,868.71,1089
1119094500,1597.76,0,868.74,1086.67
1119094800,1598.49,0,868.75,1084
1119095100,1598.8,0,868.75,1084.67
1119095400,1599.33,0,868.75,1088.33
1119095700,1599.62,0,868.75,1090
1119096000,1600.31,0,868.75,1088.67
1119096300,1600.77,0,868.75,1092.33
1119096600,1601.13,0,868.75,1094
1119096900,1601.28,0,868.75,1094.33
1119097200,1601.47,0,868.75,1092.67
1119097500,1601.98,0,868.75,1093.67
1119097800,1602.4,0,868.75,1094.33
1119098100,1602.85,0,868.75,1094.67
1119098400,1602.86,0,868.74,1094.67
1119098700,1602.62,0,868.71,1095.33
1119099000,1602.4,0,868.67,1089.67
1119099300,1602.84,0,868.64,1085
1119099600,1603.48,0,868.632,1080.67
1119099900,1604.34,0,868.638,1084.67
1119100200,1604.83,0,868.637,1084.33
1119100500,1605.27,0,868.608,1090.67
1119100800,1605.63,0,868.57,1092
1119101100,1605.99,0,868.555,1095.67
1119101400,1606.54,0,868.575,1089.67
1119101700,1607.33,0,868.605,1092.33
1119102000,1608.15,0,868.612,1095
1119102300,1608.63,0,868.588,1099.33
1119102600,1608.98,0,868.558,1093.67
1119102900,1609.3,0,868.552,1087.67
1119103200,1610.03,0,868.565,1085
1119103500,1610.45,0,868.565,1086.33
1119103800,1610.87,0,868.532,1084.33
1119104100,1610.58,0,868.478,1086.67
1119104400,1610.55,0,868.42,1088.33
1119104700,1610.34,0,868.358,1095
1119105000,1610.77,0,868.305,1096
1119105300,1611.38,0,868.272,1096.67
1119105600,1612.05,0,868.26,1093.67
1119105900,1613.08,0,868.26,1090
1119106200,1613.15,0,868.25,1080
1119106500,1613.86,0,868.22,1083.67
1119106800,1613.64,0,868.17,1087
1119107100,1613.63,0,868.11,1100
1119107400,1613.06,0,868.05,1095.33
1119107700,1612.58,0,867.99,1092.67
1119108000,1612.4,0,867.94,1087.33
1119108300,1612.05,0,867.91,1094
1119108600,1612.31,0,867.893,1094
1119108900,1612.56,0,867.872,1098
1119109200,1612.26,0,867.84,1098
1119109500,1611.63,0,867.812,1102
1119109800,1611.07,0,867.797,1100
1119110100,1611.25,0,867.79,1097.33
1119110400,1611.01,0,867.78,1095.33
1119110700,1610.74,0,867.76,1095.33
1119111000,1610.35,0,867.72,1095
1119111300,1610.48,0,867.657,1094
1119111600,1610.79,0,867.57,1099.33
1119111900,1610.68,0,867.465,1099.33
