Date,ScalerCorr,pressure,activeSD
1118982600,1636.07,866.525,1068.5
1118984400,1636.64,866.825,1071.83
1118986200,1636.78,866.957,1073.67
1118988000,1636.58,866.942,1074.33
1118989800,1636.79,866.983,1075.17
1118991600,1636.82,866.989,1074.08
1118993400,1636.45,866.949,1075
1118995200,1636.6,866.998,1078.67
1118997000,1636.58,867.127,1084.75
1118998800,1636.35,867.295,1088.67
1119000600,1637.3,867.709,1088
1119002400,1638.4,868.232,1085
1119004200,1638.06,868.599,1085.67
1119006000,1637.27,868.975,1086.25
1119007800,1637.65,869.348,1086.25
1119009600,1639.57,869.594,1087.5
1119011400,1641.22,869.785,1086.42
1119013200,1642.29,869.998,1083.67
1119015000,1644.25,870.291,1081.58
1119016800,1645.1,870.531,1080.75
1119018600,1644.58,870.622,1078.92
1119020400,1643.23,870.609,1077.67
1119022200,1641.04,870.36,1077.5
1119024000,1641.43,869.99,1073.75
1119025800,1642.46,869.642,1073.17
1119027600,1640.99,869.22,1074.67
1119029400,1639.56,868.858,1078.33
1119031200,1638.37,868.612,1087.83
1119033000,1636.48,868.399,1090.08
1119034800,1633.99,868.185,1089.5
1119036600,1631.51,868.186,1090.58
1119038400,1627.35,868.335,1089.33
1119040200,1621.66,868.532,1088.5
1119042000,1616.96,868.795,1080.25
1119043800,1614.62,869.047,1072.83
1119045600,1613.72,869.401,1075.25
1119047400,1612.82,869.749,1081.42
1119049200,1611.27,869.964,1087.75
1118620800,1639.42,869.842,1049.25
1118622600,1639.11,870.207,1045.5
1118624400,1639.05,870.512,1048.33
1118626200,1639.04,870.725,1055.67
1118628000,1639.64,870.997,1063
1118629800,1639.54,871.38,1063.17
1118631600,1365.68,871.548,1062.08
1118633400,1365.65,871.553,1066.92
1118635200,1638.49,871.468,1070.5
1118637000,1637.69,871.266,1068.58
1118638800,1637.53,871.154,1069.5
1118640600,1637.28,871.043,1073.42
1118642400,1636.76,870.864,1075
1118644200,1636.62,870.818,1074.5
1118646000,1637.29,870.935,1074.75
1118647800,1638.03,870.949,1074
1118649600,1638.86,870.887,1075.25
1118651400,1639.97,870.824,1078.08
1118653200,1641,870.778,1082.33
1118655000,1641.99,870.9,1082.58
