date,MagnM,Axym,Azrange,TminM,DminM,OType,Bmax,Bzmin,Vmax,Dstmin
92,2006.11.01 17:00:00,0.7,1.14,0.87,15,-0.13,9,5.9,-5.2,421.0,-22.0
93,2006.11.03 12:00:00,0.8,1.04,1.11,45,-0.18,9,9.5,-4.6,436.0,-20.0
94,2006.11.09 14:00:00,2.0,0.95,1.47,43,-0.28,3,18.8,-13.2,651.0,-51.0
95,2006.11.15 02:00:00,1.1,1.45,1.1,13,-0.31,9,7.4,-6.3,369.0,-18.0
96,2006.11.16 06:00:00,0.8,1.07,0.74,-1,-0.22,9,7.7,-4.6,448.0,-27.0
97,2006.11.18 11:00:00,0.9,1.35,1.4,14,-0.2,9,9.2,-4.8,444.0,-14.0
98,2006.11.21 12:00:00,0.8,0.75,1.01,35,-0.31,9,10.6,-6.7,372.0,-5.0
99,2006.11.23 02:00:00,0.6,1.11,0.97,31,-0.25,9,14.9,-5.0,638.0,-31.0
100,2006.11.28 13:00:00,1.7,1.31,1.41,24,-0.4,9,15.6,-9.5,497.0,-74.0
101,2006.12.05 10:00:00,2.9,0.86,2.08,64,-0.38,9,12.9,-8.0,713.0,-48.0
102,2006.12.08 04:35:00,1.8,1.77,1.72,10,-0.34,1,9.1,-4.8,702.0,-29.0
103,2006.12.09 22:00:00,1.0,1.29,0.8,29,-0.2,9,8.9,-5.2,756.0,-41.0
104,2006.12.14 14:14:00,9.6,4.35,2.07,12,-1.7,1,17.7,-16.4,955.0,-146.0
105,2006.12.16 17:55:00,0.8,0.87,1.29,2,-0.21,1,11.9,-2.9,779.0,-43.0
106,2006.12.18 10:14:00,0.9,1.14,1.02,-2,-0.25,1,11.5,-5.3,736.0,-34.0
107,2006.12.22 09:00:00,0.5,0.98,0.95,-2,-0.15,9,6.0,-3.8,699.0,-36.0
108,2006.12.28 19:13:00,0.5,0.92,0.8,12,-0.15,3,5.1,-2.4,365.0,-7.0
0,2007.01.01 07:00:00,1.4,0.83,1.34,71,-0.28,9,13.7,-6.4,699.0,-21.0
1,2007.01.09 01:00:00,0.4,1.31,1.14,48,-0.13,9,8.1,-2.9,514.0,-16.0
