Date,ScalerCorr,error,pressure,activeSD
1119220200,3173.47,0,1719.47,2181.67
1119220500,3173.16,0,1719.51,2188
1119220800,3173.13,0,1719.54,2190.67
1119221100,3172.71,0,1719.58,2192.67
1119221400,3172.47,0,1719.63,2193.67
1119221700,3171.95,0,1719.71,2198.67
1119222000,3171.64,0,1719.8,2198.67
1119222300,3171.69,0,1719.9,2203
1119222600,3171.21,0,1719.98,2207.33
1119222900,3171.13,0,1720.04,2206.67
1119223200,3171.14,0,1720.06,2205
1119223500,3171.31,0,1720.06,2197.67
1119223800,3171.49,0,1720.05,2193.33
1119224100,1585.7,0,860.075,1106
1119224400,1585.8,0,860.05,1093
1119224700,1586.06,0,859.99,1093
1119225000,1585.49,0,859.975,1079
1119225300,1585.7,0,860.005,1094
1119052800,3214.45,0,1740.39,2146.33
1119053100,3212.47,0,1740.44,2136.67
1119053400,3210.31,0,1740.48,2133.33
1119053700,3207.83,0,1740.5,2131
1119054000,3205.59,0,1740.48,2128
1119054300,3202.87,0,1740.44,2126
1119054600,3200.19,0,1740.4,2120.67
1119054900,3197.36,0,1740.36,2121
1119055200,3195.11,0,1740.33,2123.33
1119055500,3193.34,0,1740.3,2126.33
1119055800,3191.74,0,1740.27,2129.33
1119056100,3190.75,0,1740.24,2131.67
1119056400,3190.72,0,1740.23,2135.67
1119056700,3191.37,0,1740.22,2133.67
1119057000,3191.97,0,1740.18,2133.67
1119057300,3193.08,0,1740.14,2133.67
1119057600,3193.83,0,1740.12,2129
1119057900,3193.73,0,1740.11,2126.33
1119058200,3193.1,0,1740.07,2127.67
1119058500,3192.18,0,1740.04,2128.33
1119058800,3191.42,0,1740.04,2128.67
1119059100,3189.64,0,1740.02,2128
1119059400,3187.54,0,1739.96,2132.33
1119059700,3186,0,1739.91,2135
1119060000,3185.2,0,1739.92,2132
1119060300,3185.53,0,1739.99,2132.33
1119060600,3185.87,0,1740.11,2131.33
1119060900,3186.9,0,1740.25,2128
1119061200,3188.04,0,1740.41,2126.33
1119061500,3189.64,0,1740.6,2126.33
1119061800,3190.65,0,1740.8,2131.67
1119062100,3191.21,0,1740.98,2134
1119062400,3191.87,0,1741.09,2136
1119062700,3191.63,0,1741.17,2140.33
1119063000,3191.44,0,1741.21,2144.33
1119063300,3190.67,0,1741.2,2143
1119063600,3189.66,0,1741.11,2140.33
1119063900,3188.36,0,1740.99,2144.33
1119064200,3187,0,1740.92,2148.67
1119064500,3186.32,0,1740.89,2150.33
1119064800,3186.11,0,1740.9,2150.67
1119065100,2654.96,0,1740.94,2155
1119065400,2654.44,0,1740.98,2155.33
1119065700,2653.23,0,1741,2151.33
1119066000,2651.98,0,1741.01,2148.67
1119066300,2650.35,0,1741,2149.67
1119066600,2648.17,0,1740.98,2149
1119066900,3176.69,0,1740.97,2144.33
1119067200,3174.89,0,1741.02,2145
1119067500,3174,0,1741.1,2148.33
1119067800,3173,0,1741.17,2149.33
1119068100,3172.74,0,1741.24,2145
1119068400,3172.89,0,1741.31,2147.33
1119068700,3173.04,0,1741.34,2152.33
1119069000,3173.11,0,1741.3,2152.33
1119069300,3172.81,0,1741.23,2151
1119069600,3172.23,0,1741.19,2153.67
1119069900,3171.61,0,1741.16,2159.67
1119070200,3171.03,0,1741.1,2158.33
1119070500,3171.27,0,1741.06,2155
1119070800,3170.91,0,1741.08,2156.67
1119071100,3171.03,0,1741.15,2161.33
1119071400,3172.05,0,1741.23,2161.67
1119071700,3172.74,0,1741.31,2159.33
1119072000,3173.51,0,1741.39,2163.67
1119072300,3173.46,0,1741.44,2168.33
1119072600,3174.01,0,1741.47,2165.67
1119072900,3174.77,0,1741.46,2162.67
1119073200,3174.54,0,1741.4,2161.67
1119073500,3174.27,0,1741.31,2162.33
1119073800,3173.89,0,1741.23,2158.67
1119074100,3174.15,0,1741.14,2163
1119074400,3174.67,0,1741.03,2165.33
1119074700,3174.69,0,1740.91,2166
1119075000,3175.03,0,1740.76,2169.67
1119075300,3175.72,0,1740.61,2169.33
1119075600,3176.41,0,1740.48,2173.33
1119075900,3177.23,0,1740.37,2170
1119076200,3177.71,0,1740.26,2171
1119076500,3178.19,0,1740.16,2169.67
1119076800,3179.2,0,1740.07,2167.67
1119077100,3180.1,0,1740.01,2170.33
1119077400,3181.35,0,1739.99,2170.67
1119077700,3182.43,0,1739.98,2170.67
1119078000,3183.08,0,1739.97,2171.67
1119078300,3183.7,0,1739.95,2175
1119078600,3183.9,0,1739.95,2176
1119078900,3183.71,0,1739.93,2177.33
1119079200,3183.53,0,1739.86,2175.67
1119079500,3182.65,0,1739.77,2176.33
1119079800,3182.6,0,1739.68,2174
1119080100,3182.67,0,1739.6,2169.33
1119080400,3183,0,1739.51,2166.33
1119080700,3183.9,0,1739.42,2164.33
1119081000,3183.81,0,1739.28,2163.33
1119081300,3184.18,0,1739.14,2163.33
1119081600,3184.25,0,1739.01,2168.67
1119081900,3184.42,0,1738.9,2172
1119082200,3184.06,0,1738.81,2173
1119082500,3183.31,0,1738.74,2172
1119082800,3183.43,0,1738.72,2173
1119083100,3183.13,0,1738.71,2174
1119083400,3182.81,0,1738.68,2166.33
1119083700,3182.2,0,1738.63,2162.67
1119084000,3182.25,0,1738.55,2160
1119084300,3182.28,0,1738.45,2161
1119084600,3181.64,0,1738.34,2152
1119084900,3181.61,0,1738.22,2144.67
1119085200,3180.41,0,1738.11,2145
1119085500,3179.78,0,1738,2148.33
1119085800,3178.63,0,1737.89,2152
1119086100,3177.48,0,1737.78,2153.33
1119086400,3177.2,0,1737.69,2159.67
1119086700,3176.33,0,1737.61,2165.67
1119087000,3176.64,0,1737.55,2169.67
1119087300,3176.5,0,1737.54,2172
1119087600,3176.96,0,1737.58,2167.67
1119087900,3178.21,0,1737.66,2168.33
1119088200,3178.85,0,1737.71,2172.67
1119088500,3179.86,0,1737.75,2172
1119088800,3180.89,0,1737.79,2172.33
1119089100,3182.15,0,1737.79,2173.67
1119089400,3183.27,0,1737.73,2179.33
1119089700,3183.8,0,1737.66,2181.33
1119090000,3184.68,0,1737.61,2177.33
1119090300,3185.5,0,1737.57,2178
1119090600,3186.44,0,1737.53,2174.33
1119090900,3187.03,0,1737.51,2172
1119091200,3188.1,0,1737.5,2169.33
1119091500,3189.11,0,1737.5,2165.33
1119091800,3189.82,0,1737.49,2169
1119092100,3190.77,0,1737.47,2170
1119092400,3191.47,0,1737.44,2172
1119092700,3192.71,0,1737.41,2171.33
1119093000,3193.04,0,1737.4,2173.67
1119093300,3193.78,0,1737.4,2177
1119093600,3194.53,0,1737.41,2172.33
1119093900,3195.45,0,1737.43,2170
1119094200,3196.4,0,1737.46,2173.67
1119094500,3197.09,0,1737.49,2175
1119094800,3198.11,0,1737.5,2174
1119095100,3199.12,0,1737.5,2173.33
1119095400,3200.1,0,1737.5,2180.67
1119095700,3200.75,0,1737.5,2184
1119096000,3201.59,0,1737.5,2183
1119096300,3202.24,0,1737.5,2185
1119096600,3203.11,0,1737.5,2187.67
1119096900,3203.68,0,1737.5,2188.67
1119097200,3204.32,0,1737.5,2187.33
1119097500,3204.84,0,1737.49,2188.33
1119097800,3205.02,0,1737.46,2189.67
1119098100,3205.24,0,1737.42,2184.33
1119098400,3205.71,0,1737.38,2179.67
1119098700,3206.1,0,1737.34,2176
1119099000,3206.74,0,1737.31,2174.33
1119099300,3207.68,0,1737.28,2169.33
1119099600,3208.75,0,1737.24,2171.33
1119099900,3209.97,0,1737.21,2176.67
1119100200,3210.82,0,1737.19,2180
1119100500,3211.81,0,1737.18,2180.33
1119100800,3212.95,0,1737.17,2184.33
1119101100,3214.14,0,1737.17,2190.67
1119101400,3215.17,0,1737.16,2189
1119101700,3216.31,0,1737.16,2186
1119102000,3217.45,0,1737.16,2182.67
1119102300,3218.66,0,1737.15,2184.33
1119102600,3219.44,0,1737.12,2180
1119102900,3220.16,0,1737.08,2172
1119103200,3220.62,0,1737.04,2171.67
1119103500,3221.01,0,1736.98,2174.67
1119103800,3221.2,0,1736.89,2179.33
1119104100,3221.35,0,1736.78,2182.67
1119104400,3221.93,0,1736.69,2185
1119104700,3222.39,0,1736.62,2188.67
1119105000,3223.85,0,1736.57,2186
1119105300,3224.53,0,1736.52,2176.67
1119105600,3225.91,0,1736.48,2177.33
1119105900,3226.72,0,1736.43,2177
1119106200,3226.78,0,1736.36,2180
1119106500,3226.92,0,1736.27,2179
1119106800,3226.22,0,1736.16,2179.67
1119107100,3226.03,0,1736.05,2187.33
1119107400,3225.11,0,1735.96,2189.33
1119107700,3224.89,0,1735.88,2186.67
1119108000,3224.96,0,1735.81,2185.33
1119108300,3224.32,0,1735.75,2192
1119108600,3223.94,0,1735.71,2196
1119108900,3223.63,0,1735.67,2198
1119109200,3223.51,0,1735.63,2195.33
1119109500,3222.64,0,1735.59,2197.33
1119109800,3221.8,0,1735.56,2195.33
1119110100,3221.6,0,1735.51,2192.33
1119110400,3221.49,0,1735.44,2189.33
1119110700,3221.53,0,1735.33,2194.67
1119111000,3221.03,0,1735.19,2194.33
1119111300,3220.5,0,1735.02,2196.33
1119111600,3219.95,0,1734.84,2192
1119111900,3219.32,0,1734.66,2188
1119112200,3218.46,0,1734.49,2189.67
1119112500,3217.39,0,1734.33,2181.33
1119112800,3216.56,0,1734.19,2183
1119113100,3215.93,0,1734.07,2182.67
1119113400,3214.83,0,1733.94,2189.67
1119113700,3214.25,0,1733.83,2196.33
1119114000,3213.54,0,1733.74,2200
1119114300,3212.65,0,1733.67,2205.33
1119114600,3212.12,0,1733.61,2209.67
1119114900,3211.58,0,1733.56,2213.67
1119115200,3211.43,0,1733.52,2211.33
1119115500,3210.85,0,1733.48,2213.33
1119115800,3209.74,0,1733.45,2214
1119116100,3209.14,0,1733.41,2214.67
1119116400,3208.15,0,1733.35,2211
1119116700,3206.86,0,1733.29,2209.33
1119117000,3206.01,0,1733.24,2215
1119117300,3205.3,0,1733.2,2208.67
1119117600,3205.21,0,1733.16,2208.67
1119117900,3205.05,0,1733.12,2208.33
1119118200,3204.43,0,1733.07,2209
1119118500,3204.28,0,1733.01,2208
1119118800,3204.12,0,1732.93,2205
1119119100,3203.57,0,1732.84,2207
1119119400,3203,0,1732.72,2202.67
1119119700,3202.52,0,1732.6,2202.33
1119120000,3202.29,0,1732.48,2201.67
1119120300,3201.94,0,1732.36,2201.67
1119120600,3200.88,0,1732.24,2198.33
1119120900,3200.12,0,1732.13,2199.33
1119121200,3199.16,0,1732.04,2202.67
1119121500,3197.74,0,1731.97,2205.67
1119121800,3196.84,0,1731.92,2209.33
1119122100,3195.98,0,1731.88,2208.33
1119122400,3195.76,0,1731.85,2216
1119122700,3195.1,0,1731.82,2217
1119123000,3194.79,0,1731.78,2215.33
1119123300,3194.85,0,1731.73,2210.67
1119123600,3194.35,0,1731.66,2207
1119123900,3193.98,0,1731.58,2205.67
1119124200,3193.76,0,1731.49,2203.67
1119124500,3193.76,0,1731.4,2204.33
1119124800,3193.59,0,1731.3,2207.33
1119125100,3193.07,0,1731.2,2211
